Tábor Vlèata 2015;;;;;;;;
;;;;;;;;
Den;Datum;Vedoucí dne;Dopoledne I;Dopoledne II;Odpoledne I;Odpoledne II;Veèer;
1.;sobota;;;;;;;
;;;pøíjezd;;Úvod etapy + vybalování;seznamovací hry na høišti;"rituál ohnì
zpívanda";
;;;;;;;;
2.;nedìle;;;;;;;
;;;mše svatá + díry!!!;;"pøíchod kupce + stavby
(obchod a veè. Setkání)";hry na spolupráci;veèerní rituál;
;;;;;;;;
3.;pondìlí;;;;;;;
;;;tìžba zlata + první boj;odborky s úvodem;akèní hra - hodnì bìhat;stavba skupinkových míst;setkání s náèelníkem;
;;;;;;;;
4.;úterý;;;;;;;
;;;pozorování nepøátel;skautské dovednosti s úvodem;výlet s hrama po cestì;;krádež mapy;
;;;;;;;;
5.;støeda;;;;;;;
;;;MHD se Svìtluškama;;odborky;"pøíchod náèelníka
odchod mimo tábor";pøespání;
;;;;;;;;
6.;ètvrtek;;;;;;;
;;;"spravení tábora
tìžba zlata";bìhací hra;skautské dovednosti;"hra na poctivost - brány
www.hranostaj.cz/hra1578";rituál ohnì;
;;;;;;;zpívanda;
7.;pátek;;;;;;;
;;;výcvik s meèi;odborky + skautské dovednosti;"útok na karavanu
ukoøistìní svaèiny a poukázek do lázní";fotbal SOR x MOR;netradièní rituál ohnì;
;;;;;;;;
8.;sobota;;;;;;;
;;;aquapark;;;samurajské hry;rituál ohnì;
;;;;;;;;
9.;nedìle;;;;;;;
;;;"nájezd na tábor
díry!!!!!";odborky;pøíprava ohnì;mše svatá + sliby;;
;;;;;;;;
10.;pondìlí;;;;;;;
;;;"záchrana šamana
získání plánku totemu síly (z èeho ho postavit)";skautské dovednosti;Program se Svìtluškama;;;
;;;;;;;;
11.;úterý;;;;;;;
;;;odborky;"Stavba totemu síly
putování za dùležitým kusem totemu na pulèín
(øezání, tluèení, bouchání, nošení, oddychování)";;;"bitva se spuštìním totemu (efekt!)
výhra";
;;;;;;;;
12.;støeda;;;;;;;
;;;výroba talismanù síly;"dodìlání odborek
bìhací hra!!!";skautské dovednosti;Mše svatá (pøíbìh o kaplièce);rituál s talismanama okolo totemu;
;;;;;;;;
13.;ètvrtek;;;;;;;
;;;vrchol skautských dovedností - sekera;;putování za znièením nepøítele;;závìreèný boj;
;;;;;;;;
14.;pátek;;;;;;;
;;;vymìnìný den;;;stavba ohnì + bomba, vláèek;závìreèný oheò;
;;;;;;;;
15.;sobota;;;;;;;
;;;pøíjezd rodièù + balení vìcí;;;;;
;;;;;;;;
;;;;;;;;
